#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BUB1B	ZWINT	9606.ENSP00000287598	9606.ENSP00000363055	0	0	0	0	0.787	0.823	0.500	0.814	0.996
BUB1B	PLK1	9606.ENSP00000287598	9606.ENSP00000300093	0	0	0	0	0.838	0.845	0.720	0.932	0.999
BUB1B	CDC20	9606.ENSP00000287598	9606.ENSP00000361540	0	0	0	0	0.901	0.999	0.800	0.999	0.999
BUB1B	CENPF	9606.ENSP00000287598	9606.ENSP00000355922	0	0	0	0	0.903	0	0.900	0.918	0.999
C19orf33	PPP1R14A	9606.ENSP00000301246	9606.ENSP00000301242	0	0	0	0	0.083	0	0	0.770	0.780
C1QBP	HABP4	9606.ENSP00000225698	9606.ENSP00000364398	0	0	0	0	0.109	0.450	0	0.453	0.708
C1QBP	F12	9606.ENSP00000225698	9606.ENSP00000253496	0	0	0	0	0.042	0.920	0.500	0.228	0.966
CALD1	CNN1	9606.ENSP00000354826	9606.ENSP00000252456	0	0	0	0	0.273	0	0	0.825	0.867
CARMIL2	TTK	9606.ENSP00000334958	9606.ENSP00000358813	0	0	0	0	0	0	0	0.763	0.763
CBX5	H1-4	9606.ENSP00000209875	9606.ENSP00000307705	0	0	0	0	0.097	0.312	0	0.596	0.727
CBX5	NIPBL	9606.ENSP00000209875	9606.ENSP00000282516	0	0	0	0	0.070	0.539	0	0.429	0.734
CBX5	LRIF1	9606.ENSP00000209875	9606.ENSP00000358778	0	0	0	0	0.049	0.678	0	0.218	0.739
CBX5	ZWINT	9606.ENSP00000209875	9606.ENSP00000363055	0	0	0	0	0.087	0	0	0.749	0.761
CBX5	INCENP	9606.ENSP00000209875	9606.ENSP00000378295	0	0	0	0	0.089	0.644	0	0.418	0.795
CBX5	SUV39H2	9606.ENSP00000209875	9606.ENSP00000346997	0	0	0	0.657	0.086	0.818	0	0.437	0.898
CBX5	CHAF1B	9606.ENSP00000209875	9606.ENSP00000315700	0	0	0	0	0.067	0.858	0	0.385	0.911
CBX5	H4C6	9606.ENSP00000209875	9606.ENSP00000244537	0	0	0	0	0.047	0.831	0	0.496	0.911
CBX5	DNMT1	9606.ENSP00000209875	9606.ENSP00000352516	0	0	0	0	0.109	0.536	0	0.841	0.928
CBX5	RBBP4	9606.ENSP00000209875	9606.ENSP00000362592	0	0	0	0	0.188	0.794	0	0.620	0.931
CBX5	EHMT2	9606.ENSP00000209875	9606.ENSP00000379078	0	0	0	0	0.049	0.800	0	0.754	0.949
CBX5	H3C3	9606.ENSP00000209875	9606.ENSP00000484658	0	0	0	0	0.069	0.935	0	0.287	0.953
CBX5	CHAF1A	9606.ENSP00000209875	9606.ENSP00000301280	0	0	0	0	0.095	0.869	0	0.776	0.971
CBX5	H3-4	9606.ENSP00000209875	9606.ENSP00000355657	0	0	0	0	0.057	0.987	0	0.995	0.999
CBX5	H3C12	9606.ENSP00000209875	9606.ENSP00000352252	0	0	0	0	0.059	0.979	0.500	0.995	0.999
CBX5	H3C13	9606.ENSP00000209875	9606.ENSP00000333277	0	0	0	0	0.057	0.956	0.500	0.995	0.999
CCDC151	IFT22	9606.ENSP00000348757	9606.ENSP00000320359	0	0	0	0	0	0.628	0	0.478	0.797
CCDC151	CCDC39	9606.ENSP00000348757	9606.ENSP00000417960	0	0	0	0	0.042	0.084	0	0.723	0.736
CCDC39	DNAAF2	9606.ENSP00000417960	9606.ENSP00000298292	0	0	0	0	0	0	0	0.715	0.715
CCL22	CX3CL1	9606.ENSP00000219235	9606.ENSP00000006053	0	0	0	0	0.057	0	0	0.876	0.878
CCL22	CXCL3	9606.ENSP00000219235	9606.ENSP00000296026	0	0	0	0	0.069	0	0	0.704	0.713
CCL22	IL6	9606.ENSP00000219235	9606.ENSP00000385675	0	0	0	0	0.106	0	0.400	0.700	0.825
CCL22	CXCR2	9606.ENSP00000219235	9606.ENSP00000319635	0	0	0	0	0.106	0	0.650	0.509	0.833
CCL22	FOXP3	9606.ENSP00000219235	9606.ENSP00000365380	0	0	0	0	0.050	0	0	0.871	0.872
CCNB1IP1	RAD51B	9606.ENSP00000409896	9606.ENSP00000419881	0	0	0	0	0	0	0	0.709	0.709
CCNF	MYBL2	9606.ENSP00000380256	9606.ENSP00000217026	0	0	0	0	0.370	0.331	0	0.392	0.721
CCNF	PLK4	9606.ENSP00000380256	9606.ENSP00000270861	0	0	0	0	0.403	0	0	0.587	0.743
CCNF	PLK1	9606.ENSP00000380256	9606.ENSP00000300093	0	0	0	0	0.793	0.292	0	0.487	0.918
CCNF	CDT1	9606.ENSP00000380256	9606.ENSP00000301019	0	0	0	0	0.435	0.292	0	0.493	0.780
CCNF	RRM2	9606.ENSP00000380256	9606.ENSP00000353770	0	0	0	0	0.274	0.510	0	0.723	0.893
CCNF	CDC20	9606.ENSP00000380256	9606.ENSP00000361540	0	0	0	0	0.671	0.333	0	0.625	0.910
CCNF	KIF20A	9606.ENSP00000380256	9606.ENSP00000378356	0	0	0	0	0.624	0	0	0.301	0.726
CCNF	TOP2A	9606.ENSP00000380256	9606.ENSP00000411532	0	0	0	0	0.578	0	0	0.512	0.785
CCNF	KIFC1	9606.ENSP00000380256	9606.ENSP00000393963	0	0	0	0	0.644	0.292	0	0.254	0.796
CCNF	NUSAP1	9606.ENSP00000380256	9606.ENSP00000499238	0	0	0	0	0.407	0.625	0	0.471	0.872
CCNH	CDKN1B	9606.ENSP00000498750	9606.ENSP00000228872	0	0	0	0	0.060	0	0.400	0.592	0.750
CCNH	H4C6	9606.ENSP00000498750	9606.ENSP00000244537	0	0	0	0	0.047	0.805	0	0.085	0.815
CCNH	DDB2	9606.ENSP00000498750	9606.ENSP00000256996	0	0	0	0	0.067	0	0.500	0.431	0.711
CCNH	MED1	9606.ENSP00000498750	9606.ENSP00000300651	0	0	0	0	0.082	0.800	0	0.443	0.888
CCNH	H3C13	9606.ENSP00000498750	9606.ENSP00000333277	0	0	0	0	0.056	0.800	0	0.247	0.845
CCNH	PCNA	9606.ENSP00000498750	9606.ENSP00000368458	0	0	0	0	0.098	0	0.900	0.147	0.916
CCNH	H2BC11	9606.ENSP00000498750	9606.ENSP00000476136	0	0	0	0	0	0.813	0	0.108	0.826
CD27	KLRK1	9606.ENSP00000266557	9606.ENSP00000240618	0	0	0	0	0.144	0	0	0.778	0.802
CD27	FOXP3	9606.ENSP00000266557	9606.ENSP00000365380	0	0	0	0	0.084	0	0	0.734	0.746
CD27	INSM2	9606.ENSP00000266557	9606.ENSP00000306523	0	0	0	0	0	0	0	0.770	0.770
CD274	CXCR2	9606.ENSP00000370989	9606.ENSP00000319635	0	0	0	0	0.049	0	0	0.706	0.708
CD274	FOXP3	9606.ENSP00000370989	9606.ENSP00000365380	0	0	0	0	0.042	0	0	0.912	0.912
CD274	IL6	9606.ENSP00000370989	9606.ENSP00000385675	0	0	0	0	0.157	0	0	0.772	0.799
CD274	SIRPA	9606.ENSP00000370989	9606.ENSP00000478763	0	0	0	0	0.062	0	0	0.826	0.829
CD274	LGALS9	9606.ENSP00000370989	9606.ENSP00000378856	0	0	0	0	0.109	0	0	0.888	0.896
CD2AP	TRPC6	9606.ENSP00000352264	9606.ENSP00000340913	0	0	0	0	0	0	0	0.902	0.902
CD2AP	PLCE1	9606.ENSP00000352264	9606.ENSP00000360431	0	0	0	0	0.042	0	0	0.913	0.913
CD55	CFB	9606.ENSP00000356030	9606.ENSP00000416561	0	0	0	0.566	0.059	0.046	0.500	0.610	0.801
CDAN1	EPB42	9606.ENSP00000348564	9606.ENSP00000497777	0	0	0	0	0	0	0	0.741	0.741
CDC123	SLC30A8	9606.ENSP00000281141	9606.ENSP00000415011	0	0	0	0	0.055	0	0	0.718	0.722
CDC20	KIF22	9606.ENSP00000361540	9606.ENSP00000160827	0	0	0	0	0.753	0.049	0	0.362	0.837
CDC20	ZW10	9606.ENSP00000361540	9606.ENSP00000200135	0	0	0	0	0.109	0	0.500	0.589	0.801
CDC20	CENPM	9606.ENSP00000361540	9606.ENSP00000215980	0	0	0	0	0.700	0	0.500	0.614	0.937
CDC20	MCM5	9606.ENSP00000361540	9606.ENSP00000216122	0	0	0	0	0.698	0.058	0	0.556	0.862
CDC20	MYBL2	9606.ENSP00000361540	9606.ENSP00000217026	0	0	0	0	0.647	0.294	0	0.502	0.865
CDC20	RAD51AP1	9606.ENSP00000361540	9606.ENSP00000228843	0	0	0	0	0.484	0	0	0.511	0.737
CDC20	GMNN	9606.ENSP00000361540	9606.ENSP00000230056	0	0	0	0	0.247	0.625	0	0.639	0.889
CDC20	NCAPH	9606.ENSP00000361540	9606.ENSP00000240423	0	0	0	0	0.751	0	0	0.375	0.838
CDC20	CDC25B	9606.ENSP00000361540	9606.ENSP00000245960	0	0	0	0	0.181	0.153	0	0.715	0.786
CDC20	KIF11	9606.ENSP00000361540	9606.ENSP00000260731	0	0	0	0	0.920	0.143	0	0.825	0.987
CDC20	MCM4	9606.ENSP00000361540	9606.ENSP00000262105	0	0	0	0	0.544	0.191	0	0.705	0.882
CDC20	PKMYT1	9606.ENSP00000361540	9606.ENSP00000262300	0	0	0	0	0.385	0.182	0	0.689	0.830
CDC20	KIF18A	9606.ENSP00000361540	9606.ENSP00000263181	0	0	0	0	0.401	0.314	0.800	0.414	0.945
CDC20	MCM2	9606.ENSP00000361540	9606.ENSP00000265056	0	0	0	0	0.574	0.067	0	0.381	0.733
CDC20	PLK4	9606.ENSP00000361540	9606.ENSP00000270861	0	0	0	0	0.476	0.099	0	0.457	0.721
CDC20	NUF2	9606.ENSP00000361540	9606.ENSP00000271452	0	0	0	0	0.718	0	0.500	0.751	0.962
CDC20	CENPU	9606.ENSP00000361540	9606.ENSP00000281453	0	0	0	0	0.347	0	0.500	0.539	0.836
CDC20	CENPH	9606.ENSP00000361540	9606.ENSP00000283006	0	0	0	0	0.260	0.082	0.500	0.295	0.729
CDC20	SKA1	9606.ENSP00000361540	9606.ENSP00000285116	0	0	0	0	0.494	0	0.800	0.399	0.933
CDC20	PLK1	9606.ENSP00000361540	9606.ENSP00000300093	0	0	0	0	0.951	0.994	0.800	0.910	0.999
CDC20	TPX2	9606.ENSP00000361540	9606.ENSP00000300403	0	0	0	0	0.858	0	0	0.736	0.961
CDC20	CDT1	9606.ENSP00000361540	9606.ENSP00000301019	0	0	0	0	0.766	0.402	0	0.482	0.921
CDC20	MCM7	9606.ENSP00000361540	9606.ENSP00000307288	0	0	0	0	0.510	0	0	0.650	0.821
CDC20	SPAG5	9606.ENSP00000361540	9606.ENSP00000323300	0	0	0	0	0.823	0.099	0	0.557	0.923
CDC20	KIF15	9606.ENSP00000361540	9606.ENSP00000324020	0	0	0	0	0.740	0.126	0	0.336	0.836
CDC20	NCAPD2	9606.ENSP00000361540	9606.ENSP00000325017	0	0	0	0	0.578	0	0	0.363	0.720
CDC20	TACC3	9606.ENSP00000361540	9606.ENSP00000326550	0	0	0	0	0.733	0.114	0	0.384	0.842
CDC20	CDCA2	9606.ENSP00000361540	9606.ENSP00000328228	0	0	0	0	0.617	0	0	0.556	0.822
CDC20	KNTC1	9606.ENSP00000361540	9606.ENSP00000328236	0	0	0	0	0.378	0.069	0.500	0.642	0.882
CDC20	FOXM1	9606.ENSP00000361540	9606.ENSP00000342307	0	0	0	0	0.783	0.071	0	0.714	0.937
CDC20	E2F1	9606.ENSP00000361540	9606.ENSP00000345571	0	0	0	0	0.357	0.510	0	0.499	0.828
CDC20	UBE2C	9606.ENSP00000361540	9606.ENSP00000348838	0	0	0	0	0.951	0.957	0.540	0.891	0.999
CDC20	RRM2	9606.ENSP00000361540	9606.ENSP00000353770	0	0	0	0	0.770	0.049	0	0.609	0.907
CDC20	CENPF	9606.ENSP00000361540	9606.ENSP00000355922	0	0	0	0	0.777	0	0.800	0.801	0.990
CDC20	CENPW	9606.ENSP00000361540	9606.ENSP00000357308	0	0	0	0	0.620	0	0	0.293	0.720
CDC20	MKI67	9606.ENSP00000361540	9606.ENSP00000357643	0	0	0	0	0.815	0.292	0	0.540	0.934
CDC20	TTK	9606.ENSP00000361540	9606.ENSP00000358813	0	0	0	0	0.905	0.327	0	0.869	0.990
CDC20	GTSE1	9606.ENSP00000361540	9606.ENSP00000415430	0.042	0	0	0	0.537	0	0	0.400	0.711
CDC20	KPNA2	9606.ENSP00000361540	9606.ENSP00000438483	0	0	0	0	0.554	0.048	0	0.376	0.712
CDC20	KIF18B	9606.ENSP00000361540	9606.ENSP00000465992	0	0	0	0	0.679	0.049	0	0.374	0.792
CDC20	PCNA	9606.ENSP00000361540	9606.ENSP00000368458	0	0	0	0	0.374	0.651	0	0.151	0.798
CDC20	NDE1	9606.ENSP00000361540	9606.ENSP00000379643	0	0	0	0	0.042	0	0.800	0.159	0.824
CDC20	RACGAP1	9606.ENSP00000361540	9606.ENSP00000404190	0	0	0	0	0.647	0	0	0.602	0.853
CDC20	TK1	9606.ENSP00000361540	9606.ENSP00000468425	0	0	0	0	0.549	0.292	0	0.664	0.883
CDC20	SPC24	9606.ENSP00000361540	9606.ENSP00000465075	0	0	0	0	0.684	0	0.500	0.419	0.900
CDC20	KIFC1	9606.ENSP00000361540	9606.ENSP00000393963	0	0	0	0	0.845	0.052	0	0.471	0.915
CDC20	HJURP	9606.ENSP00000361540	9606.ENSP00000414109	0	0	0	0	0.881	0	0	0.396	0.925
CDC20	KIF4A	9606.ENSP00000361540	9606.ENSP00000363524	0	0	0	0	0.843	0	0	0.639	0.941
CDC20	NUSAP1	9606.ENSP00000361540	9606.ENSP00000499238	0	0	0	0	0.862	0	0	0.629	0.946
CDC20	PRC1	9606.ENSP00000361540	9606.ENSP00000377793	0	0	0	0	0.905	0	0	0.471	0.947
CDC20	PBK	9606.ENSP00000361540	9606.ENSP00000428489	0	0	0	0	0.882	0.067	0	0.661	0.959
CDC20	INCENP	9606.ENSP00000361540	9606.ENSP00000378295	0	0	0	0	0.441	0	0.800	0.705	0.964
CDC20	ZWINT	9606.ENSP00000361540	9606.ENSP00000363055	0	0	0	0	0.574	0.292	0.800	0.543	0.968
CDC20	TOP2A	9606.ENSP00000361540	9606.ENSP00000411532	0	0	0	0	0.908	0	0	0.797	0.980
CDC20	KIF20A	9606.ENSP00000361540	9606.ENSP00000378356	0	0	0	0	0.920	0	0	0.781	0.981
CDC20	CDC26	9606.ENSP00000361540	9606.ENSP00000363322	0	0	0	0	0	0.998	0.800	0.703	0.999
CDC20	PTTG1	9606.ENSP00000361540	9606.ENSP00000377536	0	0	0	0	0.889	0.923	0.650	0.969	0.999
CDC25B	CENPF	9606.ENSP00000245960	9606.ENSP00000355922	0	0	0	0	0.156	0	0	0.694	0.730
CDC25B	PKMYT1	9606.ENSP00000245960	9606.ENSP00000262300	0	0	0	0	0.100	0.474	0	0.530	0.758
CDC25B	FOXM1	9606.ENSP00000245960	9606.ENSP00000342307	0	0	0	0	0.207	0.314	0.500	0.735	0.918
CDC25B	PLK1	9606.ENSP00000245960	9606.ENSP00000300093	0	0	0	0	0.167	0.139	0.900	0.706	0.976
CDC26	UBE2C	9606.ENSP00000363322	9606.ENSP00000348838	0	0	0	0	0	0.819	0.900	0.379	0.987
CDC26	MAGIX	9606.ENSP00000363322	9606.ENSP00000471299	0	0	0	0	0	0.763	0	0	0.763
CDC26	PTTG1	9606.ENSP00000363322	9606.ENSP00000377536	0	0	0	0	0.066	0	0.650	0.370	0.776
CDC42EP4	RHOQ	9606.ENSP00000338258	9606.ENSP00000238738	0	0	0	0	0	0.164	0.500	0.951	0.977
CDCA2	NCAPH	9606.ENSP00000328228	9606.ENSP00000240423	0	0	0	0	0.666	0	0	0.339	0.770
CDCA2	KIF11	9606.ENSP00000328228	9606.ENSP00000260731	0	0	0	0	0.853	0	0	0.372	0.904
CDCA2	NUF2	9606.ENSP00000328228	9606.ENSP00000271452	0	0	0	0	0.743	0	0	0.576	0.886
CDCA2	PLK1	9606.ENSP00000328228	9606.ENSP00000300093	0	0	0	0	0.558	0	0	0.399	0.723
CDCA2	TPX2	9606.ENSP00000328228	9606.ENSP00000300403	0	0	0	0	0.738	0	0	0.305	0.810
CDCA2	CDCA7	9606.ENSP00000328228	9606.ENSP00000306968	0	0	0	0	0.330	0	0	0.598	0.719
CDCA2	KIF15	9606.ENSP00000328228	9606.ENSP00000324020	0	0	0	0	0.659	0	0	0.250	0.733
CDCA2	KPNA2	9606.ENSP00000328228	9606.ENSP00000438483	0	0	0	0	0.260	0.587	0	0.104	0.702
CDCA2	PRC1	9606.ENSP00000328228	9606.ENSP00000377793	0	0	0	0	0.723	0	0	0	0.723
CDCA2	HJURP	9606.ENSP00000328228	9606.ENSP00000414109	0	0	0	0	0.655	0	0	0.305	0.750
CDCA2	KIF14	9606.ENSP00000328228	9606.ENSP00000356319	0	0	0	0	0.663	0	0	0.300	0.754
CDCA2	TOP2A	9606.ENSP00000328228	9606.ENSP00000411532	0	0	0	0	0.707	0	0	0.310	0.789
CDCA2	CENPF	9606.ENSP00000328228	9606.ENSP00000355922	0	0	0	0	0.653	0	0	0.434	0.795
CDCA2	GTSE1	9606.ENSP00000328228	9606.ENSP00000415430	0	0	0	0	0.628	0	0	0.496	0.804
CDCA2	PBK	9606.ENSP00000328228	9606.ENSP00000428489	0	0	0	0	0.804	0	0	0.317	0.860
CDCA2	TTK	9606.ENSP00000328228	9606.ENSP00000358813	0	0	0	0	0.834	0	0	0.260	0.872
CDCA2	KIF20A	9606.ENSP00000328228	9606.ENSP00000378356	0	0	0	0	0.801	0	0	0.512	0.899
CDCA2	KIF4A	9606.ENSP00000328228	9606.ENSP00000363524	0	0	0	0	0.809	0	0	0.664	0.933
CDCA7	HELLS	9606.ENSP00000306968	9606.ENSP00000377601	0	0	0	0	0.359	0.059	0	0.783	0.858
CDKN1B	E2F1	9606.ENSP00000228872	9606.ENSP00000345571	0	0	0	0	0	0	0.500	0.640	0.812
CDKN1B	UHMK1	9606.ENSP00000228872	9606.ENSP00000420270	0	0	0	0	0.060	0	0.750	0.290	0.818
CDKN1B	CIT	9606.ENSP00000228872	9606.ENSP00000376306	0	0	0	0	0	0	0.700	0.442	0.825
CDKN1B	DDB2	9606.ENSP00000228872	9606.ENSP00000256996	0	0	0	0	0.049	0	0.900	0.167	0.913
CDKN1B	STMN1	9606.ENSP00000228872	9606.ENSP00000410452	0	0	0	0	0.044	0.535	0	0.899	0.951
CDKN1B	CDKN2C	9606.ENSP00000228872	9606.ENSP00000262662	0	0	0	0	0.047	0.049	0.500	0.915	0.956
CDKN1B	FOXO3	9606.ENSP00000228872	9606.ENSP00000339527	0	0	0	0	0.092	0.429	0.750	0.869	0.980
CDKN1B	SPDYA	9606.ENSP00000228872	9606.ENSP00000335628	0	0	0	0	0	0.961	0	0.591	0.983
CDKN1B	COPS5	9606.ENSP00000228872	9606.ENSP00000350512	0	0	0	0	0.083	0.875	0	0.936	0.992
CDT1	MCM5	9606.ENSP00000301019	9606.ENSP00000216122	0	0	0	0	0.935	0.965	0.500	0.917	0.999
CDT1	ORC6	9606.ENSP00000301019	9606.ENSP00000219097	0	0	0	0	0.265	0.292	0.800	0.982	0.997
CDT1	RNASEH2A	9606.ENSP00000301019	9606.ENSP00000221486	0	0	0	0	0.737	0	0	0.181	0.776
CDT1	GMNN	9606.ENSP00000301019	9606.ENSP00000230056	0	0	0	0	0.408	0.997	0.900	0.981	0.999
CDT1	DDB2	9606.ENSP00000301019	9606.ENSP00000256996	0	0	0	0	0.068	0.292	0	0.587	0.703
CDT1	KIF11	9606.ENSP00000301019	9606.ENSP00000260731	0	0	0	0	0.626	0	0	0.475	0.795
CDT1	TOPBP1	9606.ENSP00000301019	9606.ENSP00000260810	0	0	0	0	0.134	0	0	0.769	0.792
CDT1	MCM4	9606.ENSP00000301019	9606.ENSP00000262105	0	0	0	0	0.918	0.974	0.500	0.930	0.999
CDT1	CHTF18	9606.ENSP00000301019	9606.ENSP00000262315	0	0	0	0	0.463	0.126	0	0.460	0.724
CDT1	LIG1	9606.ENSP00000301019	9606.ENSP00000263274	0	0	0	0	0.509	0	0	0.489	0.738
CDT1	MCM2	9606.ENSP00000301019	9606.ENSP00000265056	0	0	0	0	0.911	0.919	0.500	0.819	0.999
CDT1	NUF2	9606.ENSP00000301019	9606.ENSP00000271452	0	0	0	0	0.431	0.292	0	0.348	0.714
CDT1	PLK1	9606.ENSP00000301019	9606.ENSP00000300093	0	0	0	0	0.435	0	0	0.652	0.795
CDT1	TPX2	9606.ENSP00000301019	9606.ENSP00000300403	0	0	0	0	0.442	0	0	0.510	0.715
CDT1	RRM1	9606.ENSP00000301019	9606.ENSP00000300738	0	0	0	0	0.744	0.091	0	0.256	0.811
CDT1	CHAF1A	9606.ENSP00000301019	9606.ENSP00000301280	0	0	0	0	0.573	0	0	0.352	0.711
CDT1	CLSPN	9606.ENSP00000301019	9606.ENSP00000312995	0	0	0	0	0.381	0	0	0.570	0.722
CDT1	NUSAP1	9606.ENSP00000301019	9606.ENSP00000499238	0	0	0	0	0.495	0	0	0.487	0.730
CDT1	CHAF1B	9606.ENSP00000301019	9606.ENSP00000315700	0	0	0	0	0.610	0	0	0.348	0.735
CDT1	POLD1	9606.ENSP00000301019	9606.ENSP00000472445	0	0	0	0	0.480	0	0	0.531	0.746
CDT1	TIMELESS	9606.ENSP00000301019	9606.ENSP00000450607	0	0	0	0	0.447	0.071	0	0.558	0.753
CDT1	UBE2C	9606.ENSP00000301019	9606.ENSP00000348838	0	0	0	0	0.492	0	0.400	0.269	0.757
CDT1	HJURP	9606.ENSP00000301019	9606.ENSP00000414109	0	0	0	0	0.537	0	0	0.512	0.764
CDT1	E2F1	9606.ENSP00000301019	9606.ENSP00000345571	0	0	0	0	0.366	0	0.500	0.515	0.833
CDT1	TOP2A	9606.ENSP00000301019	9606.ENSP00000411532	0	0	0	0	0.460	0.292	0	0.684	0.868
CDT1	GINS3	9606.ENSP00000301019	9606.ENSP00000401018	0	0	0	0	0.383	0	0	0.810	0.878
CDT1	RRM2	9606.ENSP00000301019	9606.ENSP00000353770	0	0	0	0	0.743	0	0	0.622	0.899
CDT1	MCM9	9606.ENSP00000301019	9606.ENSP00000314505	0	0	0	0	0.690	0.843	0	0.849	0.992
CDT1	PCNA	9606.ENSP00000301019	9606.ENSP00000368458	0	0	0	0	0.508	0.988	0	0.268	0.995
CDT1	ORC4	9606.ENSP00000301019	9606.ENSP00000441953	0	0	0	0	0.099	0.966	0.800	0.929	0.999
CDT1	MCM7	9606.ENSP00000301019	9606.ENSP00000307288	0	0	0	0	0.884	0.971	0.500	0.981	0.999
CEACAM5	KRT19	9606.ENSP00000221992	9606.ENSP00000355124	0	0	0	0	0.086	0	0	0.871	0.877
CENPF	ZW10	9606.ENSP00000355922	9606.ENSP00000200135	0	0	0	0	0.078	0	0	0.737	0.747
CENPF	CENPM	9606.ENSP00000355922	9606.ENSP00000215980	0	0	0	0	0.353	0	0	0.687	0.789
CENPF	KIF11	9606.ENSP00000355922	9606.ENSP00000260731	0	0	0	0	0.903	0	0	0.728	0.972
CENPF	KIF18A	9606.ENSP00000355922	9606.ENSP00000263181	0	0	0	0	0.625	0	0	0.617	0.850
CENPF	NUF2	9606.ENSP00000355922	9606.ENSP00000271452	0	0	0	0	0.875	0	0	0.632	0.952
CENPF	CENPU	9606.ENSP00000355922	9606.ENSP00000281453	0	0	0	0	0.442	0.164	0	0.480	0.736
CENPF	CENPH	9606.ENSP00000355922	9606.ENSP00000283006	0	0	0	0	0.280	0.051	0	0.649	0.739
CENPF	SKA1	9606.ENSP00000355922	9606.ENSP00000285116	0	0	0	0	0.362	0	0.900	0.507	0.965
CENPF	SMC2	9606.ENSP00000355922	9606.ENSP00000286398	0	0	0	0	0.744	0	0	0.117	0.764
CENPF	PLK1	9606.ENSP00000355922	9606.ENSP00000300093	0	0	0	0	0.508	0	0.800	0.748	0.973
CENPF	TPX2	9606.ENSP00000355922	9606.ENSP00000300403	0	0	0	0	0.829	0	0	0.746	0.954
CENPF	CENPS	9606.ENSP00000355922	9606.ENSP00000308583	0	0	0	0	0.060	0	0	0.812	0.815
CENPF	SPAG5	9606.ENSP00000355922	9606.ENSP00000323300	0	0	0	0	0.838	0.045	0	0.436	0.905
CENPF	KIF15	9606.ENSP00000355922	9606.ENSP00000324020	0	0	0	0	0.898	0	0	0.615	0.959
CENPF	TACC3	9606.ENSP00000355922	9606.ENSP00000326550	0	0	0	0	0.382	0.053	0	0.536	0.705
CENPF	KNTC1	9606.ENSP00000355922	9606.ENSP00000328236	0	0	0	0	0.618	0	0	0.486	0.795
CENPF	SMC4	9606.ENSP00000355922	9606.ENSP00000341382	0	0	0	0	0.516	0	0	0.604	0.800
CENPF	FOXM1	9606.ENSP00000355922	9606.ENSP00000342307	0	0	0	0	0.747	0	0.750	0.845	0.989
CENPF	UBE2C	9606.ENSP00000355922	9606.ENSP00000348838	0	0	0	0	0.769	0	0	0.753	0.940
CENPF	RRM2	9606.ENSP00000355922	9606.ENSP00000353770	0	0	0	0	0.530	0	0	0.638	0.822
CENPF	STIL	9606.ENSP00000355922	9606.ENSP00000360944	0	0	0	0	0.425	0	0	0.512	0.708
CENPF	GTSE1	9606.ENSP00000355922	9606.ENSP00000415430	0	0	0	0	0.613	0	0	0.369	0.745
CENPF	KIFC1	9606.ENSP00000355922	9606.ENSP00000393963	0	0	0	0	0.596	0	0	0.399	0.746
CENPF	TK1	9606.ENSP00000355922	9606.ENSP00000468425	0	0	0	0	0.434	0	0	0.630	0.782
CENPF	RACGAP1	9606.ENSP00000355922	9606.ENSP00000404190	0	0	0	0	0.625	0	0	0.477	0.795
CENPF	PTTG1	9606.ENSP00000355922	9606.ENSP00000377536	0	0	0	0	0.574	0	0	0.611	0.827
CENPF	NDE1	9606.ENSP00000355922	9606.ENSP00000379643	0	0	0	0	0.050	0.345	0	0.802	0.866
CENPF	KIF4A	9606.ENSP00000355922	9606.ENSP00000363524	0	0	0	0	0.730	0	0	0.571	0.879
CENPF	CKAP2	9606.ENSP00000355922	9606.ENSP00000367276	0	0	0.294	0	0.868	0	0	0.346	0.934
CENPF	PRC1	9606.ENSP00000355922	9606.ENSP00000377793	0	0	0	0	0.866	0.292	0	0.391	0.937
CENPF	NUSAP1	9606.ENSP00000355922	9606.ENSP00000499238	0	0	0	0	0.855	0	0	0.631	0.944
CENPF	HJURP	9606.ENSP00000355922	9606.ENSP00000414109	0	0	0	0	0.856	0	0	0.640	0.946
CENPF	PBK	9606.ENSP00000355922	9606.ENSP00000428489	0	0	0	0	0.836	0	0	0.704	0.949
CENPF	ZWINT	9606.ENSP00000355922	9606.ENSP00000363055	0	0	0	0	0.638	0	0	0.877	0.953
CENPF	KIF14	9606.ENSP00000355922	9606.ENSP00000356319	0	0	0	0	0.829	0.292	0	0.692	0.959
CENPF	KIF20A	9606.ENSP00000355922	9606.ENSP00000378356	0	0	0	0	0.899	0	0	0.627	0.960
CENPF	TTK	9606.ENSP00000355922	9606.ENSP00000358813	0	0	0	0	0.886	0	0	0.723	0.967
CENPF	TOP2A	9606.ENSP00000355922	9606.ENSP00000411532	0	0	0	0	0.876	0	0	0.804	0.974
CENPF	MKI67	9606.ENSP00000355922	9606.ENSP00000357643	0	0	0	0	0.902	0.292	0	0.727	0.979
CENPH	CENPM	9606.ENSP00000283006	9606.ENSP00000215980	0	0	0	0	0.302	0.953	0.800	0.999	0.999
CENPH	RAD51AP1	9606.ENSP00000283006	9606.ENSP00000228843	0	0	0	0	0.705	0	0	0	0.705
CENPH	MND1	9606.ENSP00000283006	9606.ENSP00000240488	0	0	0	0	0.728	0	0	0	0.728
